Id,SalePrice
1461,121526.93442567743
1462,157513.36514748356
1463,185367.2980728715
1464,202118.7667685424
1465,204566.40345569968
1466,168165.65721230116
1467,171867.45430585233
1468,160970.59605202277
1469,192182.84166527286
1470,116117.43874909906
1471,168953.97275458567
1472,94465.70546858391
1473,94325.89071468031
1474,147612.37010621474
1475,112917.25962284261
1476,358795.5451529831
1477,248664.81296440365
1478,307580.2921159331
1479,287706.77976733557
1480,532390.5702152435
1481,329471.0211111932
1482,206510.13753986746
1483,176859.97829548293
1484,154787.5980698171
1485,191835.34700578306
1486,190001.43682114774
1487,344279.0008445864
1488,246516.21024884362
1489,196324.8958400489
1490,261955.06982453764
1491,196139.55863091163
1492,92421.25407785129
1493,164490.59516136878
1494,296614.61354273057
1495,299367.37882628
1496,241851.7455852253
1497,174566.88444673942
1498,175563.6847089422
1499,160362.80621853293
1500,155449.4291176909
1501,180390.76365384844
1502,140396.75823836372
1503,351642.2443416663
1504,242264.95140188152
1505,232575.66467708503
1506,193484.86606695908
1507,242013.46097087342
1508,199988.09408527872
1509,162323.67768390957
1510,143536.92959493096
1511,158570.02096301535
1512,183074.1476987648
1513,141869.05827753845
1514,158303.87981124653
1515,196954.08837028837
1516,155620.14915842513
1517,174608.38403627108
1518,130084.93209697514
1519,207980.90425690677
1520,124985.49168362004
1521,130838.85857587491
1522,184120.89330158138
1523,117461.58109456272
1524,130825.61942759984
1525,124685.56039817425
1526,114926.61633424982
1527,108261.53075216903
1528,137468.2507181967
1529,157729.30041026667
1530,192595.14459051724
1531,93382.72385493544
1532,92535.94636819807
1533,155182.17331764015
1534,101947.68464314335
1535,149028.4044755769
1536,104525.74136492252
1537,57666.263938025666
1538,154341.3961129653
1539,200098.68007080522
1540,80013.52129304342
1541,147242.35033403596
1542,142199.08448582396
1543,192930.86335186634
1544,81407.11754202508
1545,114860.5388861915
1546,139708.40258286856
1547,134444.843662404
1548,138267.59029036397
1549,118598.46644799005
1550,133154.04616123883
1551,98648.63139367262
1552,132931.05361285564
1553,152564.98432228356
1554,122396.67197233942
1555,166590.2722862786
1556,79882.96753216542
1557,118416.06605282328
1558,105860.7837653076
1559,57799.96581514702
1560,128869.44027845505
1561,111391.3026869683
1562,127905.08402000784
1563,121544.90474210356
1564,162581.80686618903
1565,157257.14603868825
1566,233815.15362756135
1567,78609.89389474563
1568,233393.0838466214
1569,143968.89847951563
1570,135287.48642174076
1571,113334.60081450232
1572,143340.28825949834
1573,179500.59353676048
1574,119636.33325921508
1575,242903.35743433243
1576,235445.4001548743
1577,174967.48409471245
1578,149358.91233397546
1579,150185.55690258165
1580,195523.38870467187
1581,152980.20429375442
1582,126095.48233004582
1583,295760.73733064276
1584,213754.75535827805
1585,133650.12155526143
1586,73228.10079781759
1587,111456.92631768272
1588,149530.22848479706
1589,101396.61914656918
1590,128822.22550190028
1591,97168.96311103353
1592,124738.93989052488
1593,123119.76775308413
1594,121680.96553451348
1595,109578.9797226553
1596,208693.80493108806
1597,204566.86553533972
1598,232634.09120963066
1599,175123.2477876041
1600,166812.1125035862
1601,67492.77503344385
1602,113378.14131707045
1603,59313.12229451125
1604,282040.9992044412
1605,237754.08032438578
1606,167490.14477820956
1607,166720.36455577458
1608,214269.50065297136
1609,175874.62463053365
1610,153585.52790927433
1611,134678.49837259777
1612,175957.9362466202
1613,170197.97236441253
1614,126718.37951746078
1615,87769.49595561998
1616,76246.62722825567
1617,90023.02081336959
1618,134982.38526188824
1619,133447.2990255918
1620,174477.6023013923
1621,138648.76359136318
1622,142711.77959999497
1623,264218.0013572463
1624,203861.77428355475
1625,111261.53023691828
1626,170040.64869565138
1627,195788.82057304628
1628,273031.5879273771
1629,185374.12079992465
